,description,fdc_id,data_type,food_category_id,publication_date
193,"BURGER KING, Double Cheeseburger",170374,sr_legacy_food,21.0,2019-04-01
194,"BURGER KING, Hamburger",170328,sr_legacy_food,21.0,2019-04-01
195,"BURGER KING, Hash Brown Rounds",172078,sr_legacy_food,21.0,2019-04-01
196,"BURGER KING, Onion Rings",170771,sr_legacy_food,21.0,2019-04-01
197,"BURGER KING, Original Chicken Sandwich",170331,sr_legacy_food,21.0,2019-04-01
198,"BURGER KING, Premium Fish Sandwich",170330,sr_legacy_food,21.0,2019-04-01
199,"BURGER KING, Vanilla Shake",170700,sr_legacy_food,21.0,2019-04-01
200,"BURGER KING, WHOPPER, no cheese",170727,sr_legacy_food,21.0,2019-04-01
201,"BURGER KING, WHOPPER, with cheese",170728,sr_legacy_food,21.0,2019-04-01
202,"BURGER KING, french fries",170327,sr_legacy_food,21.0,2019-04-01
203,"BURGER KING, french toast sticks",172077,sr_legacy_food,21.0,2019-04-01
204,"Babyfood, Baby MUM MUM Rice Biscuits",171001,sr_legacy_food,3.0,2019-04-01
205,"Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic",173487,sr_legacy_food,3.0,2019-04-01
206,"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",172254,sr_legacy_food,3.0,2019-04-01
207,"Babyfood, GERBER, Banana with orange medley",169792,sr_legacy_food,3.0,2019-04-01
208,"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat",171371,sr_legacy_food,3.0,2019-04-01
209,"Babyfood, Multigrain whole grain cereal, dry fortified",171000,sr_legacy_food,3.0,2019-04-01
210,"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",171398,sr_legacy_food,3.0,2019-04-01
211,"Babyfood, apple yogurt dessert, strained",167690,sr_legacy_food,3.0,2019-04-01
212,"Babyfood, apple-banana juice",171351,sr_legacy_food,3.0,2019-04-01
213,"Babyfood, apples with ham, strained",173517,sr_legacy_food,3.0,2019-04-01
214,"Babyfood, apples, dices, toddler",173511,sr_legacy_food,3.0,2019-04-01
215,"Babyfood, baked product, finger snacks cereal fortified",169047,sr_legacy_food,3.0,2019-04-01
216,"Babyfood, banana apple dessert, strained",167733,sr_legacy_food,3.0,2019-04-01
217,"Babyfood, banana juice with low fat yogurt",168090,sr_legacy_food,3.0,2019-04-01
218,"Babyfood, banana no tapioca, strained",167732,sr_legacy_food,3.0,2019-04-01
219,"Babyfood, banana with mixed berries, strained",170999,sr_legacy_food,3.0,2019-04-01
220,"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",173519,sr_legacy_food,3.0,2019-04-01
221,"Babyfood, carrots and beef, strained",173518,sr_legacy_food,3.0,2019-04-01
222,"Babyfood, carrots, toddler",169871,sr_legacy_food,3.0,2019-04-01
223,"Babyfood, cereal, Oatmeal, dry, GERBER, SINGLE GRAIN, fortified",173509,sr_legacy_food,3.0,2019-04-01
224,"Babyfood, cereal, barley, dry fortified",171358,sr_legacy_food,3.0,2019-04-01
225,"Babyfood, cereal, barley, prepared with whole milk",172296,sr_legacy_food,3.0,2019-04-01
226,"Babyfood, cereal, brown rice, dry, instant",169048,sr_legacy_food,3.0,2019-04-01
227,"Babyfood, cereal, egg yolks and bacon, junior",171366,sr_legacy_food,3.0,2019-04-01
228,"Babyfood, cereal, high protein, prepared with whole milk",173528,sr_legacy_food,3.0,2019-04-01
229,"Babyfood, cereal, high protein, with apple and orange, dry",170973,sr_legacy_food,3.0,2019-04-01
230,"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",173533,sr_legacy_food,3.0,2019-04-01
231,"Babyfood, cereal, mixed, dry fortified",170964,sr_legacy_food,3.0,2019-04-01
232,"Babyfood, cereal, mixed, prepared with whole milk",173529,sr_legacy_food,3.0,2019-04-01
233,"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",170967,sr_legacy_food,3.0,2019-04-01
234,"Babyfood, cereal, mixed, with applesauce and bananas, strained",170966,sr_legacy_food,3.0,2019-04-01
235,"Babyfood, cereal, mixed, with bananas, dry",170965,sr_legacy_food,3.0,2019-04-01
236,"Babyfood, cereal, mixed, with bananas, prepared with whole milk",173530,sr_legacy_food,3.0,2019-04-01
237,"Babyfood, cereal, mixed, with honey, prepared with whole milk",173532,sr_legacy_food,3.0,2019-04-01
238,"Babyfood, cereal, oatmeal, dry fortified",171360,sr_legacy_food,3.0,2019-04-01
239,"Babyfood, cereal, oatmeal, prepared with whole milk",173531,sr_legacy_food,3.0,2019-04-01
240,"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",171363,sr_legacy_food,3.0,2019-04-01
241,"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",171362,sr_legacy_food,3.0,2019-04-01
242,"Babyfood, cereal, oatmeal, with bananas, dry",171361,sr_legacy_food,3.0,2019-04-01
243,"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",172297,sr_legacy_food,3.0,2019-04-01
244,"Babyfood, cereal, oatmeal, with honey, dry",170968,sr_legacy_food,3.0,2019-04-01
245,"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",172298,sr_legacy_food,3.0,2019-04-01
246,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",167731,sr_legacy_food,3.0,2019-04-01
247,"Babyfood, cereal, rice, dry fortified",170969,sr_legacy_food,3.0,2019-04-01
248,"Babyfood, cereal, rice, prepared with whole milk",172299,sr_legacy_food,3.0,2019-04-01
249,"Babyfood, cereal, rice, with applesauce and bananas, strained",170970,sr_legacy_food,3.0,2019-04-01
250,"Babyfood, cereal, rice, with bananas, dry",170974,sr_legacy_food,3.0,2019-04-01
251,"Babyfood, cereal, rice, with bananas, prepared with whole milk",173534,sr_legacy_food,3.0,2019-04-01
252,"Babyfood, cereal, rice, with honey, prepared with whole milk",172300,sr_legacy_food,3.0,2019-04-01
253,"Babyfood, cereal, whole wheat, with apples, dry fortified",171359,sr_legacy_food,3.0,2019-04-01
254,"Babyfood, cereal, with egg yolks, junior",171364,sr_legacy_food,3.0,2019-04-01
255,"Babyfood, cereal, with egg yolks, strained",170971,sr_legacy_food,3.0,2019-04-01
256,"Babyfood, cereal, with eggs, strained",171365,sr_legacy_food,3.0,2019-04-01
257,"Babyfood, cherry cobbler, junior",170978,sr_legacy_food,3.0,2019-04-01
258,"Babyfood, cookie, baby, fruit",171368,sr_legacy_food,3.0,2019-04-01
259,"Babyfood, cookies",170975,sr_legacy_food,3.0,2019-04-01
260,"Babyfood, cookies, arrowroot",171369,sr_legacy_food,3.0,2019-04-01
261,"Babyfood, corn and sweet potatoes, strained",172317,sr_legacy_food,3.0,2019-04-01
262,"Babyfood, crackers, vegetable",170972,sr_legacy_food,3.0,2019-04-01
263,"Babyfood, dessert, banana pudding, strained",169872,sr_legacy_food,3.0,2019-04-01
264,"Babyfood, dessert, banana yogurt, strained",168135,sr_legacy_food,3.0,2019-04-01
265,"Babyfood, dessert, blueberry yogurt, strained",168134,sr_legacy_food,3.0,2019-04-01
266,"Babyfood, dessert, cherry vanilla pudding, junior",171373,sr_legacy_food,3.0,2019-04-01
267,"Babyfood, dessert, cherry vanilla pudding, strained",170979,sr_legacy_food,3.0,2019-04-01
268,"Babyfood, dessert, custard pudding, vanilla, junior",171380,sr_legacy_food,3.0,2019-04-01
269,"Babyfood, dessert, custard pudding, vanilla, strained",171379,sr_legacy_food,3.0,2019-04-01
270,"Babyfood, dessert, dutch apple, junior",170977,sr_legacy_food,3.0,2019-04-01
271,"Babyfood, dessert, dutch apple, strained",170976,sr_legacy_food,3.0,2019-04-01
272,"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",171377,sr_legacy_food,3.0,2019-04-01
273,"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",170983,sr_legacy_food,3.0,2019-04-01
274,"Babyfood, dessert, fruit pudding, orange, strained",171374,sr_legacy_food,3.0,2019-04-01
275,"Babyfood, dessert, fruit pudding, pineapple, strained",170982,sr_legacy_food,3.0,2019-04-01
276,"Babyfood, dessert, peach cobbler, junior",171376,sr_legacy_food,3.0,2019-04-01
277,"Babyfood, dessert, peach cobbler, strained",171375,sr_legacy_food,3.0,2019-04-01
278,"Babyfood, dessert, peach melba, junior",170981,sr_legacy_food,3.0,2019-04-01
279,"Babyfood, dessert, peach melba, strained",170980,sr_legacy_food,3.0,2019-04-01
280,"Babyfood, dessert, peach yogurt",168133,sr_legacy_food,3.0,2019-04-01
281,"Babyfood, dessert, tropical fruit, junior",171378,sr_legacy_food,3.0,2019-04-01
282,"Babyfood, dinner, apples and chicken, strained",172287,sr_legacy_food,3.0,2019-04-01
283,"Babyfood, dinner, beef and rice, toddler",172260,sr_legacy_food,3.0,2019-04-01
284,"Babyfood, dinner, beef lasagna, toddler",173489,sr_legacy_food,3.0,2019-04-01
